상담일시,민원분야,질문내용,답변내용
2025-08-19 21:17:40,복지,금천구 출산장려금 신청,금천구 출산장려금 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-26 11:36:21,일반행정,성동구 구청 업무 시간,성동구 구청 업무 시간에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-12-15 05:08:10,일반행정,금천구 주민등록등본 발급,금천구 주민등록등본 발급에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-01-19 11:28:05,일반행정,북구 여권 발급 준비물,북구 여권 발급 준비물에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-11-17 07:40:15,세무,구로구 연말정산 문의,구로구 연말정산 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-03-22 19:19:26,주택,양천구 전세보증금 반환보증,양천구 전세보증금 반환보증에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-08-15 00:56:50,교통,북구 버스 노선 문의,북구 버스 노선 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-12-15 19:52:48,복지,서초구 기초생활수급자 신청,서초구 기초생활수급자 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-01 11:15:10,세무,동대문구 연말정산 문의,동대문구 연말정산 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-11-23 02:42:17,교통,강남구 불법주정차 신고,강남구 불법주정차 신고에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-06-21 17:35:02,교통,강북구 지하철 막차 시간,강북구 지하철 막차 시간에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-19 19:06:43,세무,송파구 자동차세 연납 신청,송파구 자동차세 연납 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-08-21 02:04:15,환경,마포구 대형 폐기물 처리,마포구 대형 폐기물 처리에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-08-22 14:46:24,복지,서초구 장애인 서비스 문의,서초구 장애인 서비스 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-20 14:59:52,일반행정,노원구 여권 발급 준비물,노원구 여권 발급 준비물에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-12-02 02:30:02,복지,서대문구 기초생활수급자 신청,서대문구 기초생활수급자 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-09 11:15:00,일반행정,동작구 지원금 신청 마감일,동작구 지원금 신청 마감일에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-30 14:05:18,교통,강남구 버스 노선 문의,강남구 버스 노선 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-07-18 21:59:43,교통,중랑구 버스 노선 문의,중랑구 버스 노선 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-02-09 14:30:19,환경,동작구 음식물 쓰레기 배출,동작구 음식물 쓰레기 배출에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-01-25 11:46:37,세무,도봉구 연말정산 문의,도봉구 연말정산 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-02 15:17:04,주택,도봉구 주택 수리 지원,도봉구 주택 수리 지원에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-23 20:14:44,세무,중구 자동차세 연납 신청,중구 자동차세 연납 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-11-29 12:40:04,복지,중구 장애인 서비스 문의,중구 장애인 서비스 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-04-11 14:31:56,주택,성동구 주택 수리 지원,성동구 주택 수리 지원에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-11-07 15:53:03,일반행정,중구 주민등록등본 발급,중구 주민등록등본 발급에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-11-24 03:04:02,일반행정,종로구 주민등록등본 발급,종로구 주민등록등본 발급에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-06 11:52:38,세무,구로구 연말정산 문의,구로구 연말정산 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-31 14:11:11,세무,강북구 지방세 환급금 조회,강북구 지방세 환급금 조회에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-22 05:57:05,세무,금천구 지방세 환급금 조회,금천구 지방세 환급금 조회에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-28 18:55:19,복지,양천구 출산장려금 신청,양천구 출산장려금 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-23 18:20:37,환경,서구 미세먼지 문의,서구 미세먼지 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-08-28 16:17:59,교통,서초구 불법주정차 신고,서초구 불법주정차 신고에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-11-08 00:54:39,주택,송파구 공공임대주택 입주,송파구 공공임대주택 입주에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-07-18 02:02:23,복지,강동구 출산장려금 신청,강동구 출산장려금 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-08 03:01:25,일반행정,영등포구 구청 업무 시간,영등포구 구청 업무 시간에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-06-01 03:36:35,세무,도봉구 취득세 감면 문의,도봉구 취득세 감면 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-06-25 10:18:07,교통,은평구 불법주정차 신고,은평구 불법주정차 신고에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-03 05:19:42,복지,송파구 어르신 지원 문의,송파구 어르신 지원 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-08-10 14:18:55,복지,강남구 어르신 지원 문의,강남구 어르신 지원 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-06-20 19:02:04,주택,관악구 공공임대주택 입주,관악구 공공임대주택 입주에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-02-12 14:30:08,일반행정,도봉구 구청 업무 시간,도봉구 구청 업무 시간에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-07-17 06:35:39,환경,금천구 미세먼지 문의,금천구 미세먼지 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-01-14 20:15:56,세무,동구 지방세 환급금 조회,동구 지방세 환급금 조회에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-04-07 06:02:36,환경,동작구 대형 폐기물 처리,동작구 대형 폐기물 처리에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-07-20 12:33:22,복지,도봉구 출산장려금 신청,도봉구 출산장려금 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-06-06 12:45:38,일반행정,남구 지원금 신청 마감일,남구 지원금 신청 마감일에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-17 16:56:43,교통,강북구 버스 노선 문의,강북구 버스 노선 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-17 19:42:22,세무,북구 취득세 감면 문의,북구 취득세 감면 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-17 19:24:42,세무,금천구 연말정산 문의,금천구 연말정산 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-01-22 22:02:49,일반행정,서초구 구청 업무 시간,서초구 구청 업무 시간에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-02-19 13:55:54,복지,구로구 어르신 지원 문의,구로구 어르신 지원 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-07-17 02:41:48,교통,강동구 따릉이 이용 문의,강동구 따릉이 이용 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-19 22:56:54,세무,동작구 연말정산 문의,동작구 연말정산 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-10 21:24:08,교통,종로구 따릉이 이용 문의,종로구 따릉이 이용 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-01-04 09:57:27,세무,노원구 연말정산 문의,노원구 연말정산 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-28 11:41:51,교통,강북구 불법주정차 신고,강북구 불법주정차 신고에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-28 21:27:01,복지,서초구 어르신 지원 문의,서초구 어르신 지원 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-11-04 07:06:39,교통,성동구 불법주정차 신고,성동구 불법주정차 신고에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-13 07:33:26,교통,동대문구 버스 노선 문의,동대문구 버스 노선 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-02-02 05:36:39,교통,중구 불법주정차 신고,중구 불법주정차 신고에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-02-12 14:18:38,주택,동대문구 전세보증금 반환보증,동대문구 전세보증금 반환보증에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-11 17:48:11,주택,금천구 공공임대주택 입주,금천구 공공임대주택 입주에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-12-28 17:42:57,세무,서대문구 연말정산 문의,서대문구 연말정산 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-29 23:29:25,환경,강남구 음식물 쓰레기 배출,강남구 음식물 쓰레기 배출에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-12 00:32:02,일반행정,강동구 주민등록등본 발급,강동구 주민등록등본 발급에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-07-06 00:58:39,복지,광진구 어르신 지원 문의,광진구 어르신 지원 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-06-11 10:28:04,복지,관악구 어르신 지원 문의,관악구 어르신 지원 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-11-04 07:56:42,일반행정,동대문구 구청 업무 시간,동대문구 구청 업무 시간에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-24 18:29:15,복지,영등포구 어르신 지원 문의,영등포구 어르신 지원 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-03-26 02:51:29,세무,송파구 연말정산 문의,송파구 연말정산 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-06-20 16:02:16,일반행정,금천구 구청 업무 시간,금천구 구청 업무 시간에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-02-11 09:25:53,주택,금천구 주택 수리 지원,금천구 주택 수리 지원에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-04 04:14:56,세무,남구 자동차세 연납 신청,남구 자동차세 연납 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-04-06 13:05:06,주택,구로구 전세보증금 반환보증,구로구 전세보증금 반환보증에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-02-22 11:41:58,복지,금천구 어르신 지원 문의,금천구 어르신 지원 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-03-05 18:53:01,일반행정,남구 여권 발급 준비물,남구 여권 발급 준비물에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-07-31 12:44:55,환경,은평구 미세먼지 문의,은평구 미세먼지 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-02-19 09:19:31,세무,영등포구 연말정산 문의,영등포구 연말정산 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-07 02:47:03,일반행정,동구 지원금 신청 마감일,동구 지원금 신청 마감일에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-15 03:40:02,세무,중랑구 자동차세 연납 신청,중랑구 자동차세 연납 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-02-27 22:15:44,복지,강북구 기초생활수급자 신청,강북구 기초생활수급자 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-07-08 22:35:04,복지,서구 장애인 서비스 문의,서구 장애인 서비스 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-07-29 02:46:41,복지,구로구 어르신 지원 문의,구로구 어르신 지원 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-02-25 19:04:25,주택,노원구 층간소음 해결,노원구 층간소음 해결에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-30 10:53:08,세무,동대문구 연말정산 문의,동대문구 연말정산 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-16 06:16:54,세무,중랑구 지방세 환급금 조회,중랑구 지방세 환급금 조회에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-06-20 16:15:30,교통,은평구 불법주정차 신고,은평구 불법주정차 신고에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-24 22:52:55,세무,도봉구 연말정산 문의,도봉구 연말정산 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-08 21:02:03,교통,중구 버스 노선 문의,중구 버스 노선 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-01-08 06:50:00,복지,서대문구 출산장려금 신청,서대문구 출산장려금 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-23 01:30:21,일반행정,성북구 여권 발급 준비물,성북구 여권 발급 준비물에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-01-13 22:03:11,복지,노원구 출산장려금 신청,노원구 출산장려금 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-06-26 18:14:45,주택,남구 층간소음 해결,남구 층간소음 해결에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-08-27 06:22:52,복지,마포구 출산장려금 신청,마포구 출산장려금 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-12-23 04:08:27,복지,강북구 장애인 서비스 문의,강북구 장애인 서비스 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-01-04 08:17:27,세무,서구 자동차세 연납 신청,서구 자동차세 연납 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-06-27 01:40:36,환경,동구 분리수거 방법,동구 분리수거 방법에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-24 21:35:27,세무,강서구 연말정산 문의,강서구 연말정산 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-04-20 05:54:45,복지,서대문구 출산장려금 신청,서대문구 출산장려금 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-04-03 10:57:15,일반행정,성동구 주민등록등본 발급,성동구 주민등록등본 발급에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-29 11:31:09,환경,은평구 대형 폐기물 처리,은평구 대형 폐기물 처리에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-08-05 05:09:30,환경,광진구 음식물 쓰레기 배출,광진구 음식물 쓰레기 배출에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-07-26 09:06:25,교통,동대문구 지하철 막차 시간,동대문구 지하철 막차 시간에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-04-22 17:44:03,세무,성동구 취득세 감면 문의,성동구 취득세 감면 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-01-18 02:21:16,복지,동대문구 출산장려금 신청,동대문구 출산장려금 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-03 19:57:23,세무,용산구 연말정산 문의,용산구 연말정산 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-02-04 08:07:25,환경,강남구 음식물 쓰레기 배출,강남구 음식물 쓰레기 배출에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-03-31 11:46:40,주택,중랑구 층간소음 해결,중랑구 층간소음 해결에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-06-20 00:44:20,주택,강서구 공공임대주택 입주,강서구 공공임대주택 입주에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-12-16 10:03:42,주택,강남구 전세보증금 반환보증,강남구 전세보증금 반환보증에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-08-08 01:39:57,환경,북구 대형 폐기물 처리,북구 대형 폐기물 처리에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-29 13:23:01,일반행정,남구 주민등록등본 발급,남구 주민등록등본 발급에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-06 14:56:20,복지,강서구 장애인 서비스 문의,강서구 장애인 서비스 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-07-08 12:16:24,복지,금천구 출산장려금 신청,금천구 출산장려금 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-07-30 07:55:38,환경,노원구 미세먼지 문의,노원구 미세먼지 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-01-05 21:25:18,세무,양천구 자동차세 연납 신청,양천구 자동차세 연납 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-12 09:32:06,일반행정,성동구 지원금 신청 마감일,성동구 지원금 신청 마감일에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-03-26 22:09:07,환경,송파구 대형 폐기물 처리,송파구 대형 폐기물 처리에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-12-18 06:25:45,복지,마포구 장애인 서비스 문의,마포구 장애인 서비스 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-01-06 11:55:54,복지,중구 기초생활수급자 신청,중구 기초생활수급자 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-04-30 11:06:19,주택,남구 층간소음 해결,남구 층간소음 해결에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-12-24 05:07:25,주택,강북구 층간소음 해결,강북구 층간소음 해결에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-27 22:00:37,교통,성동구 따릉이 이용 문의,성동구 따릉이 이용 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-04 14:35:41,주택,성북구 전세보증금 반환보증,성북구 전세보증금 반환보증에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-07-19 03:31:20,교통,강북구 버스 노선 문의,강북구 버스 노선 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-01-15 11:14:47,복지,서대문구 어르신 지원 문의,서대문구 어르신 지원 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-02-25 18:15:29,일반행정,서초구 구청 업무 시간,서초구 구청 업무 시간에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-01 18:21:28,세무,종로구 연말정산 문의,종로구 연말정산 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-11-18 12:54:28,복지,은평구 출산장려금 신청,은평구 출산장려금 신청에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-02-19 01:22:21,일반행정,강북구 주민등록등본 발급,강북구 주민등록등본 발급에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-05 10:44:38,복지,중랑구 장애인 서비스 문의,중랑구 장애인 서비스 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-03-31 15:52:27,교통,서초구 불법주정차 신고,서초구 불법주정차 신고에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-05-11 09:24:53,일반행정,금천구 여권 발급 준비물,금천구 여권 발급 준비물에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-08 22:05:43,일반행정,서초구 구청 업무 시간,서초구 구청 업무 시간에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-10-11 00:16:50,복지,중구 어르신 지원 문의,중구 어르신 지원 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-07-29 09:33:36,복지,서대문구 장애인 서비스 문의,서대문구 장애인 서비스 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2025-07-14 04:37:47,교통,동구 지하철 막차 시간,동구 지하철 막차 시간에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-09-06 22:45:12,교통,중랑구 지하철 막차 시간,중랑구 지하철 막차 시간에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-11-03 01:56:56,세무,동대문구 취득세 감면 문의,동대문구 취득세 감면 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
2024-08-23 13:21:21,환경,서대문구 미세먼지 문의,서대문구 미세먼지 문의에 대한 답변입니다. 담당부서 연결 또는 관련 웹사이트 안내가 필요합니다.
